Gene ID, Cluster # 
At1g03410, 4.3 
At1g05310, 4.3 
At1g06680, 2 
At1g08380, 2 
At1g08500, 3 
At1g12080, 3 
At1g13080, 4.4 
At1g13930, 3 
At1g16390, 4.3 
At1g17190, 4.3 
At1g17220, 4.3 
At1g20490, 3 
At1g22740, 4.4 
At1g23160, 4.3 
At1g25450, 4.4 
At1g30380, 2 
At1g31330, 3 
At1g31950, 4.4 
At1g48350, 3 
At1g53830, 3 
At1g54500, 4.3 
At1g57560, 4.3 
At1g60950, 3 
At1g61520, 4.3 
At1g62660, 4.4 
At1g64510, 2 
At1g69310, 2 
At1g70230, 4.3 
At1g70880, 2 
At1g73780, 2 
At1g74470, 2 
At1g74500, 3 
At1g75350, 3 
At1g75780, 4.4 
At1g78460, 2 
At1g78630, 2 
At1g79040, 2 
At1g79850, 3 
At2g02950, 2 
At2g16230, 3 
At2g16430, 4.3 
At2g17300, 4.3 
At2g18800, 2 
At2g19760, 3 
At2g20750, 3 
At2g21830, 4.3 
At2g21960, 4.3 
At2g22770, 4.4 
At2g22980, 4.3 
At2g25160, 4.3 
At2g25210, 3 
At2g26260, 4.3 
At2g34500, 3 
At2g37130, 4.3 
At2g37660, 4.3 
At2g38760, 2 
At2g39010, 2 
At2g39040, 2 
At2g42110, 4.3 
At2g43600, 4.3 
At2g44740, 4.4 
At2g47450, 4.3 
At2g47600, 2 
At3g05800, 4.3 
At3g07070, 4.3 
At3g09220, 2 
At3g12110, 3 
At3g14850, 2 
At3g16450, 3 
At3g20100, 3 
At3g20790, 2 
At3g20820, 2 
At3g23700, 4.1 
At3g23730, 3 
At3g26460, 4.3 
At3g29250, 4.4 
At3g43960, 3 
At3g45700, 4.4 
At3g45710, 4.3 
At3g45780, 4.3 
At3g46880, 4.3 
At3g49470, 3 
At3g56090, 3 
At3g56940, 4.3 
At3g57020, 4.3 
At3g59370, 4.3 
At3g62030, 3 
At3g62760, 3 
At4g00430, 4.3 
At4g01150, 2 
At4g02770, 2 
At4g04640, 2 
At4g09990, 4.4 
At4g10340, 2 
At4g11210, 4.3 
At4g12330, 2 
At4g15290, 4.3 
At4g15330, 4.4 
At4g18480, 4.3 
At4g18510, 4.3 
At4g18550, 4.3 
At4g21850, 3 
At4g22460, 4.4 
At4g22610, 4.3 
At4g25050, 4.3 
At4g25250, 3 
At4g26320, 4.3 
At4g26850, 4.4 
At4g27410, 2 
At4g31320, 4.3 
At4g31470, 3 
At4g33790, 4.3 
At4g37150, 3 
At4g37410, 3 
At5g01530, 2 
At5g02170, 4.3 
At5g04120, 4.3 
At5g04970, 4.3 
At5g10170, 3 
At5g13870, 4.3 
At5g14780, 3 
At5g15180, 4.4 
At5g17310, 3 
At5g18670, 4.3 
At5g23210, 4.4 
At5g36140, 4.4 
At5g40650, 3 
At5g42580, 2 
At5g42590, 2 
At5g43580, 3 
At5g44110, 3 
At5g47110, 2 
At5g47950, 4.3 
At5g47980, 4.3 
At5g47990, 4.4 
At5g49360, 2 
At5g52060, 3 
At5g53190, 2 
At5g54770, 3 
At5g55250, 4.3 
At5g56540, 4.3 
At5g56870, 4.4 
At5g59590, 4.3 
At5g62810, 4.3 
At5g64120, 3 
At5g64620, 2 
At1g01340, 1 
At1g02850, 4.3 
At1g04360, 4.3 
At1g05340, 2 
At1g05880, 4.1 
At1g09080, 4.3 
At1g13110, 1 
At1g13340, 4.3 
At1g14540, 2 
At1g14550, 4.1 
At1g16160, 4.3 
At1g18570, 4.3 
At1g18830, 4.3 
At1g19020, 3 
At1g22890, 2 
At1g24150, 4.3 
At1g26380, 2 
At1g26410, 4.3 
At1g26420, 4.3 
At1g27730, 3 
At1g30040, 4.3 
At1g32180, 4.1 
At1g32940, 2 
At1g51920, 4.3 
At1g53270, 2 
At1g53540, 4.1 
At1g63530, 4.3 
At1g64160, 4.3 
At1g64400, 4.3 
At1g64900, 4.3 
At1g67970, 4.3 
At1g69920, 4.3 
At1g72940, 2 
At1g74360, 2 
At1g76700, 4.3 
At2g01300, 4.3 
At2g18690, 4.3 
At2g19190, 4.3 
At2g23270, 2 
At2g29220, 4.1 
At2g30070, 4.3 
At2g30750, 2 
At2g40330, 1 
At2g42840, 4.3 
At2g43000, 4.3 
At2g43620, 4.3 
At2g44370, 3 
At2g45910, 4.3 
At2g46400, 4.1 
At3g03640, 4.3 
At3g07370, 4.3 
At3g08970, 4.3 
At3g13100, 2 
At3g16530, 3 
At3g22910, 4.3 
At3g26830, 4.3 
At3g28210, 4.3 
At3g47780, 4.3 
At3g51600, 4.3 
At3g54150, 4.3 
At3g55090, 2 
At3g56400, 4.3 
At3g59080, 4.3 
At3g60140, 4.3 
At3g61390, 4.3 
At4g09100, 4.3 
At4g10510, 4.3 
At4g14365, 4.3 
At4g14980, 4.1 
At4g15120, 4.3 
At4g20000, 4.3 
At4g21400, 1 
At4g21490, 4.3 
At4g23190, 2 
At4g28460, 4.3 
At4g33050, 3 
At4g36430, 4.3 
At4g36580, 4.3 
At4g39640, 3 
At4g39670, 4.3 
At5g05340, 4.1 
At5g05390, 2 
At5g09420, 4.3 
At5g09570, 4.3 
At5g10695, 4.3 
At5g11920, 4.3 
At5g12030, 4.1 
At5g13200, 4.3 
At5g20230, 4.1 
At5g25475, 4.3 
At5g26220, 4.1 
At5g39580, 4.3 
At5g40010, 4.3 
At5g40850, 1 
At5g41280, 4.3 
At5g49350, 4.3 
At5g57220, 2 
At5g64510, 4.3 
At5g64905, 2 
At5g67340, 2 
At1g01430, 1 
At1g01750, 1 
At1g03457, 1 
At1g03870, 1 
At1g06640, 1 
At1g07890, 3 
At1g12240, 1 
At1g12560, 1 
At1g12740, 1 
At1g14960, 4.3 
At1g16370, 1 
At1g18140, 4.1 
At1g19900, 1 
At1g20440, 3 
At1g20450, 1 
At1g21360, 1 
At1g30850, 1 
At1g30870, 1 
At1g35720, 4.3 
At1g50900, 1 
At1g62510, 4.3 
At1g63450, 4.1 
At1g65310, 4.3 
At1g67870, 1 
At1g70850, 1 
At1g74020, 4.3 
At1g78260, 4.3 
At2g16970, 1 
At2g21880, 1 
At2g23610, 4.3 
At2g24580, 1 
At2g29440, 4.3 
At2g29750, 4.3 
At2g30930, 1 
At2g38750, 4.3 
At2g40150, 4.3 
At2g42320, 1 
At2g42850, 1 
At2g43535, 4.3 
At2g43880, 1 
At2g44110, 1 
At2g44360, 3 
At2g45890, 4.3 
At3g12540, 1 
At3g16350, 1 
At3g16460, 1 
At3g19030, 1 
At3g20460, 1 
At3g21180, 1 
At3g21510, 1 
At3g23090, 1 
At3g26520, 1 
At3g44990, 1 
At3g46830, 1 
At3g50300, 3 
At3g62390, 4.3 
At4g00680, 1 
At4g01070, 1 
At4g01630, 1 
At4g10040, 3 
At4g11290, 1 
At4g12550, 1 
At4g20780, 1 
At4g22212, 1 
At4g29080, 4.1 
At4g29180, 1 
At4g30170, 1 
At4g31250, 1 
At4g33730, 1 
At4g34580, 1 
At4g35090, 4.3 
At4g37610, 1 
At4g37790, 4.3 
At5g02270, 1 
At5g05600, 1 
At5g14150, 4.3 
At5g15410, 4.3 
At5g15600, 4.3 
At5g19040, 4.3 
At5g25810, 1 
At5g45410, 1 
At5g47560, 1 
At5g49760, 1 
At5g51520, 1 
At5g55400, 4.3 
At5g62360, 4.1 
At5g66170, 4.3 
At1g01480, 4.3 
At1g01570, 2 
At1g02220, 4.3 
At1g02750, 4.3 
At1g03660, 4.3 
At1g03820, 4.3 
At1g03980, 4.3 
At1g05060, 4.3 
At1g05280, 4.3 
At1g05700, 4.3 
At1g06450, 4.3 
At1g06560, 2 
At1g06840, 4.3 
At1g07500, 4.3 
At1g09300, 4.4 
At1g10170, 4.3 
At1g10340, 4.3 
At1g10990, 4.3 
At1g11870, 4.4 
At1g12030, 4.3 
At1g12200, 4.3 
At1g12320, 4.3 
At1g18590, 4.3 
At1g18890, 4.4 
At1g18900, 4.4 
At1g19250, 4.3 
At1g21010, 4.4 
At1g21130, 2 
At1g21910, 4.3 
At1g22180, 4.3 
At1g22510, 4.3 
At1g22885, 4.4 
At1g24090, 4.3 
At1g32870, 4.3 
At1g33110, 4.4 
At1g33420, 4.3 
At1g33790, 4.3 
At1g34180, 4.3 
At1g34750, 4.4 
At1g36180, 4.3 
At1g37130, 4.3 
At1g43910, 4.4 
At1g44050, 4.3 
At1g49050, 4.4 
At1g50590, 4.3 
At1g51700, 4.3 
At1g51890, 3 
At1g53030, 4.3 
At1g53070, 3 
At1g54540, 4.4 
At1g55740, 4.3 
At1g55780, 4.3 
At1g55940, 4.3 
At1g56580, 4.3 
At1g61560, 2 
At1g63090, 4.3 
At1g63440, 4.4 
At1g64170, 4.3 
At1g65500, 4.3 
At1g65690, 4.3 
At1g66480, 4.3 
At1g66880, 4.3 
At1g67120, 4.3 
At1g67800, 4.3 
At1g67810, 3 
At1g68690, 4.3 
At1g68820, 4.4 
At1g68880, 4.3 
At1g69790, 4.3 
At1g70690, 4.4 
At1g73480, 4.3 
At1g74240, 4.3 
At1g74590, 2 
At1g77120, 4.3 
At1g77760, 4.3 
At1g78340, 4.4 
At1g78950, 4.3 
At1g79610, 4.3 
At1g80820, 4.3 
At2g02230, 4.3 
At2g02850, 4.3 
At2g03760, 4.4 
At2g04040, 4.3 
At2g04050, 4.3 
At2g04400, 4.3 
At2g13810, 4.3 
At2g15490, 4.3 
At2g16060, 4.3 
At2g17220, 4.3 
At2g18950, 4.4 
At2g19590, 4.3 
At2g21610, 4.4 
At2g21640, 4.3 
At2g23960, 4.3 
At2g24762, 4.3 
At2g25510, 4.3 
At2g26440, 4.1 
At2g28570, 4.3 
At2g29340, 2 
At2g30140, 2 
At2g30470, 4.4 
At2g30550, 4.4 
At2g32020, 4.3 
At2g34340, 4.4 
At2g35480, 4.3 
At2g35750, 4.4 
At2g36460, 4.4 
At2g37360, 4.3 
At2g38290, 4.3 
At2g38860, 4.3 
At2g39350, 4.3 
At2g39380, 4.3 
At2g39650, 4.3 
At2g39700, 4.4 
At2g40880, 4.3 
At2g40950, 4.4 
At2g41480, 4.4 
At2g42430, 4.3 
At2g43570, 4.3 
At2g45920, 3 
At2g46450, 4.3 
At2g47260, 2 
