AGI,0,3,6,12,24,48,72
At1g31470,1.433,1.483,1.3378,1.4811,2.108,2.9363,2.5308
At1g31660,1.6216,1.8794,1.6479,1.5421,2.4168,3.139,2.8529
At1g32920,1.235,1.4091,1.2382,1.179,2.186,4.1046,3.4215
At1g34260,1.035,1.136,1.0646,1.0784,1.366,2.1489,1.9227
At1g34670,1.1495,1.2184,1.0537,1.0851,1.8187,3.4852,2.5941
At1g42990,2.065,2.2501,1.9324,1.9087,3.5608,7.1002,5.3654
At1g45050,1.1739,1.1865,1.1402,1.1569,1.5608,1.9476,1.7744
At1g48320,1.6436,1.6403,1.6696,1.7655,2.8704,4.5188,4.1557
At1g48480,1.024,1.0988,0.9774,0.9841,1.3089,1.6396,1.3723
At1g48970,1.0092,1.0581,1.0533,1.1056,1.3044,1.734,1.5594
At1g49000,0.7572,0.7829,0.8829,0.912,2.0385,4.1154,3.6067
At1g49430,1.1016,1.1135,1.1032,1.2049,1.6373,3.471,2.6147
At1g49960,0.9629,0.9393,0.9383,0.9454,1.3933,3.1053,2.0604
At1g50740,1.9167,2.2019,1.7598,1.8801,3.1465,4.5461,3.6656
At1g51420,1.3126,1.3574,1.2987,1.3293,1.9921,3.7419,3.1346
At1g52320,1.1894,1.2043,1.06,1.1061,1.5131,1.8514,1.6486
At1g53390,1.1809,1.4133,1.1762,1.2516,1.8589,2.4865,2.2907
At1g53460,0.975,1.0208,0.9377,1.0476,1.25,1.6319,1.5116
At1g55150,1.3665,1.5953,1.3528,1.4345,1.9789,2.5084,2.1465
At1g55450,1.8311,2.2261,2.0713,1.7716,2.7183,6.2767,4.6327
At1g55500,1.1172,1.1084,1.007,1.0467,1.5579,2.2055,1.8367
At1g56320,2.0012,1.9019,1.659,2.1485,3.2661,6.061,4.7329
At1g59990,0.8433,0.8891,0.9148,0.8864,1.1351,1.4354,1.3511
At1g60420,2.2343,2.0968,1.773,1.801,3.1005,3.9947,3.5846
At1g60490,1.725,1.7527,1.6043,1.683,2.9371,4.2599,3.7591
At1g60610,0.928,1.0495,1.0653,1.1618,2.0826,3.1279,2.5997
At1g60650,1.2087,1.2514,1.163,1.2116,1.4406,1.8232,1.661
At1g60730,1.0726,1.0479,1.0657,1.0438,1.6968,3.7292,3.2713
At1g61140,1.7636,1.7512,1.5845,1.4791,2.4826,3.1797,2.9411
At1g62390,1.5063,1.6225,1.3443,1.4304,2.4481,3.4223,3.1062
At1g63660,2.1734,2.6886,2.2483,2.5038,3.4117,4.5289,3.6696
At1g63780,2.0636,2.4389,2.2243,2.3153,3.0421,3.8889,3.5612
